model,perturbation_type,greedy_consistency,uq_consistency_rate,flip_rate,greedy_accuracy,uq_accuracy
BioMistral-7B,paraphrase,0.932,0.84,0.068,0.484,0.464
BioMistral-7B,shuffle,0.672,0.632,0.328,0.38,0.404
BioMistral-7B,synonym,0.96,0.864,0.04,0.492,0.46
BioMistral-7B,truncate,0.72,0.708,0.28,0.52,0.492
BioMistral-7B,typo,0.848,0.792,0.152,0.456,0.444
Llama-3.1-8B,paraphrase,0.932,0.848,0.068,0.532,0.524
Llama-3.1-8B,shuffle,0.712,0.632,0.288,0.436,0.436
Llama-3.1-8B,synonym,0.952,0.844,0.048,0.572,0.544
Llama-3.1-8B,truncate,0.76,0.772,0.24,0.5,0.5
Llama-3.1-8B,typo,0.812,0.772,0.188,0.528,0.504
Qwen2.5-7B,paraphrase,0.988,0.976,0.012,0.52,0.528
Qwen2.5-7B,shuffle,0.736,0.764,0.264,0.416,0.416
Qwen2.5-7B,synonym,0.984,0.964,0.016,0.52,0.52
Qwen2.5-7B,truncate,0.76,0.764,0.24,0.5,0.512
Qwen2.5-7B,typo,0.88,0.876,0.12,0.544,0.54
